amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	is-business-order	purchase-order-number	price-designation	customized-url	customized-page	signature-confirmation-recommended 
701-4416044-1959415	701-4416044-1959415	2023-05-31T19:43:07+00:00	2023-06-01T05:57:22+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Toy Story Woody Cowboy Costume Shirt (Small/Medium)	woodycostumeshirt-FBA-S-M	B01596A5A4		Shipped			1	MXN	598.53								CIUDAD VICTORIA	TAMAULIPAS	87040	MX		CreditCard, GiftCertificate	false					false
701-9551471-2609017	701-9551471-2609017	2023-05-25T14:08:29+00:00	2023-05-26T20:01:40+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	Mad Engine Toy Story I Am Woody - Playera de Manga Larga para Adulto, Amarillo, X-Large	WoodyLongSleeveAdultShirt-FBA-XL	B07VFPWCMV		Cancelled			0										SANTIAGO DE QUERETARO	QUERETARO	76177	MX		CreditCard	false					false
702-9043220-6013848	702-9043220-6013848	2023-05-24T03:53:35+00:00	2023-05-24T10:17:00+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Chucky Costume Good Guys Muñeca Niño Halloween Cosplay (3/4)	220850-ChuckieCostume-FBA-3-4T	B09H7NKLG7		Shipped			1	MXN	1182.91								CULIACAN ROSALES	SINALOA	80080	MX		CreditCard	false					false
701-8594992-1457068	701-8594992-1457068	2023-05-20T18:08:47+00:00	2023-05-24T20:44:18+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	Mad Engine Toy Story I Am Woody - Playera de Manga Larga para Adulto, Amarillo, X-Large	WoodyLongSleeveAdultShirt-FBA-XL	B07VFPWCMV		Cancelled			0										SANTIAGO DE QUERETARO	QUERETARO	76177	MX		CreditCard	false					false
702-2350683-9355409	702-2350683-9355409	2023-05-19T07:56:12+00:00	2023-05-19T20:38:51+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Seinfeld #1 Dad Light Blue Mens T-shirt (Adult Small)	sein034-FBA-S	B01NAYPMCN		Shipped			1	MXN	388.09								CIUDAD DE MEXICO	CIUDAD DE MEXICO	03020	MX		CreditCard	false					false
702-2572503-6381841	702-2572503-6381841	2023-05-17T06:31:09+00:00	2023-05-20T08:32:46+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	Camisa de disfraz de vaquero de Sheriff Woody (XXXL)	woodycostumeshirt-FBA-3XL	B07Z88NXK3		Cancelled			0										SAN FRANCISCO DEL RINCON	GUANAJUATO	36390	MX		Other	false					false
701-2475523-1808257	701-2475523-1808257	2023-05-13T06:40:35+00:00	2023-05-14T05:48:37+00:00	Shipped	Amazon	Amazon.com.mx			Standard	The Office Dunder Mifflin Scranton Branch Picnic Red T-Shirt tee	office023-FBA-S	B002DZX7L4		Shipped			1	MXN	373.08								HUIXQUILUCAN DE DEGOLLADO	MEXICO	52763	MX		CreditCard	false					false
702-6660318-8368237	702-6660318-8368237	2023-05-06T17:24:33+00:00	2023-05-09T19:26:02+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	Camisa de disfraz de vaquero de Sheriff Woody (XXXL)	woodycostumeshirt-FBA-3XL	B07Z88NXK3		Cancelled			0										SAN FRANCISCO DEL RINCON	GUANAJUATO	36390	MX		Other	false					false
702-1606844-2003467		2023-06-01T06:50:28+00:00	2023-06-02T18:43:57+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Cartoon Network Steven Universe Cheeseburger Backpack,Multi,one size	stevenuniversebackpack001	B01HFIIBBY	1	Shipped			1	CAD	72.43		7.19						Montréal	Quebec	H1N 0B4	CA		Standard	false					false
702-3796384-6512268		2023-06-01T04:13:39+00:00	2023-06-02T18:43:49+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	New World Red Ink Adult Black T-Shirt	nwo003-M	B07FK4PQ86	1	Shipped			1	CAD	35.52		7.19						Langley	British Columbia	V2Y 3E5	CA		Standard	false					false
702-2552659-8567411		2023-06-01T03:57:35+00:00	2023-06-02T18:43:38+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	New World Red Ink Adult Black T-Shirt	nwo003-XL	B07FK2LT7J	1	Shipped			1	CAD	35.52		7.19						BURNABY	British Columbia	V5H 1V8	CA		Standard	false					false
701-2734547-5267459		2023-06-01T02:33:51+00:00	2023-06-02T18:43:24+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Jack Daniels Men's Daniel's Label T-Shirt Black Large	JackDaniels001-MensShirt-L	B002X5SU6G	1	Shipped			1	CAD	37.13		7.19						Salisbury	New Brunswick	E4J1X6	CA		Standard	false					false
702-1420446-1461010		2023-06-01T02:24:02+00:00	2023-06-02T18:43:15+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ripple Junction Ted Lasso Coach AFC Richmond Sweater Costume Long-Sleeve Sweatshirts for Cosplay & Halloween	220893-TedLassoSweater-L	B0B983H6LX	1	Shipped			1	CAD	77.13		7.19						Cambridge	Ontario	N1S 5B2	CA		Standard	false					false
702-9205815-5952231		2023-06-01T00:46:30+00:00	2023-06-01T15:34:44+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Saved By The Bell Kelly Kapowski Bayside Off The Shoulder Gray Juniors Sweatshirt (XXL)	sbb015-2XL	B00E5MZZ3G	1	Shipped			1	CAD	51.69		7.19						Oshawa	Ontario	L1G 4J1	CA		Standard	false					false
702-0661652-6132268		2023-05-31T23:22:46+00:00	2023-06-02T18:42:52+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	M&M's Candy Green Silly Character Face Adult T-Shirt (Adult Large)	mm001Ngrn-L	B00CP8MAEO	1	Shipped			1	CAD	23.91		7.19						Bolton-Ouest	Quebec	J0E 2T0	CA		Standard	false					false
701-9374394-5597860		2023-05-31T21:49:16+00:00	2023-06-02T18:42:16+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Expedited	Tribal Face Temporary Tattoo	tysontattoo	B01G5ZLE1M	1	Shipped			1	CAD	6.63		44.2						Abbotsford	British Columbia	V4X 2R7	CA		Standard	false					false
701-1502918-6820225		2023-05-31T21:02:55+00:00	2023-06-02T18:42:04+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Nerds Candy GREEN Mens T-Shirt Tee (Mens Small)	nerdscandy001mensgreen-S	B006547T0E	1	Shipped			1	CAD	27.48		7.19						Thunder Bay	Ontario	P7C 0B8	CA		Standard	false					false
702-0695552-8653013		2023-05-31T20:59:25+00:00	2023-06-02T18:41:52+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	National Lampoons Christmas Vacation Glass Moose Mug (1-Pack)	MooseMug001-1Pack	B0778WC7JV	1	Shipped			1	CAD	36.23		7.19						Middle sackville	Nova Scotia	B4E 3E5	CA		Standard	false					false
702-4867251-4596245		2023-05-31T20:39:01+00:00	2023-06-02T18:41:41+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Sesame Street - Mens Oscar The Grouch Face Costume T-Shirt - X-Large Green	sesame001-XL	B0015MNSJ2	1	Shipped			1	CAD	23.42	1.64	7.19	0.5					WINNIPEG	MB	R3B2V8	CA		Standard	false					false
702-6188327-1003431		2023-05-31T17:43:24+00:00	2023-06-02T18:41:26+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Underboss Wu Tang Clan Logo Yellow and Black Lounge Pants	WuTangLoungePants-LN0010-52-M	B07HHKSQTT	1	Shipped			1	CAD	40.37		7.19						North York	Ontario	M2R3T7	CA		Standard	false					false
702-4807694-4533855		2023-05-31T17:31:29+00:00	2023-06-02T18:41:15+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Seinfeld #1 Dad Light Blue Mens T-shirt (Adult Medium)	sein034-M	B0085N9E2O	1	Shipped			1	CAD	29.04		7.19						Happy Valley-Goose Bay	Newfoundland	A0P 1C0	CA		Standard	false					false
701-2173724-2117044		2023-05-31T15:13:59+00:00	2023-06-02T18:41:03+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ripple Junction Workaholics Free Karl Adult T-Shirt Large White	workaholics001-L	B00640IR1Y	1	Shipped			1	CAD	28.93		7.19						Hamilton	Ontario	L9A 3K1	CA		Standard	false					false
702-9136706-6773044		2023-05-31T14:47:53+00:00	2023-06-02T18:40:52+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Adventure Time Finn Chara Hat	adventuretimehat001-Finn	B005H3BT46	1	Shipped			1	CAD	33.89		7.19						Sherwood Park	Alberta	T8H 1Y1	CA		Standard	false					false
701-1569114-0761863		2023-05-31T14:40:40+00:00	2023-06-02T18:40:30+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Underboss Wu Tang Clan Logo Yellow and Black Lounge Pants	WuTangLoungePants-LN0010-52-XXL	B07HHKLSRN	1	Shipped			1	CAD	38.87		7.19						Medicine Hat	Alberta	T1A 6R6	CA		Standard	false					false
701-3055505-1237833		2023-05-31T13:22:43+00:00	2023-06-02T18:40:16+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Expedited	Famous Guy Feir Chef Shirt Glasses Wig Beard Halloween Costume Set Complete Cosplay	GuyFieryCompleteSet-XXL	B0BGT1SBFF	1	Shipped			1	CAD	80.81		44.2						Burlington	Ontario	L7M 3Z7	CA		Standard	false					false
701-0537818-7132221		2023-05-31T13:16:19+00:00	2023-06-02T18:39:55+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Junk Food Teenage Mutant Ninja Turtles Pizza Slice Adult Heather Gray T-Shirt (Adult Small)	tmnt080-S	B00S5H619O	1	Shipped			1	CAD	35.59		7.19						Sherwood Park	Alberta	T8H 0J5	CA		Standard	false					false
701-3791033-6502634		2023-05-31T11:19:12+00:00	2023-06-02T18:39:42+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	How I Met Your Mother Black Silk Pajama Suit with White Shirt (Black) (Mens Small)	suitpajamas001black-S	B0085NX52Y	1	Shipped			1	CAD	96.99		7.19						Outremont	QC	H2V1J6	CA		Standard	false					false
701-6365858-6097000		2023-05-31T06:49:26+00:00	2023-06-02T18:39:31+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	The Big Bang Theory Soft Kitty Warm Kitty BLACK Mens T-Shirt (Adult Small)	bigbang017BLACK-S	B008BVEN6M	1	Shipped			1	CAD	32.28		7.19						Calgary	Alberta	T3G 5Y2	CA		Standard	false					false
702-0023790-6842648		2023-05-31T04:22:53+00:00	2023-06-02T18:39:20+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (Large)	btlc004-L	B0039VWOLA	1	Shipped			1	CAD	37.13		7.19						Calgary	Alberta	T2J 3M4	CA		Standard	false					false
702-3310032-8505019		2023-05-31T04:10:51+00:00	2023-06-02T18:37:51+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Teenage Mutant Ninja Turtles 4 Felt Eye Masks	tmnteyemaskset	B015G9UX9C	1	Shipped			2	CAD	9.38		9.78						Jonquiere	Quebec	G7X 1A2	CA		Standard	false					false
702-9566316-9498651		2023-05-31T03:18:21+00:00	2023-06-02T18:37:11+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Seinfeld #1 Dad Light Blue Mens T-shirt (Adult Large)	sein034-L	B0085N9EL0	1	Shipped			1	CAD	21.68	1.3	7.19	0.43					Saskatoon	Saskatchewan	S7K 5M7	CA		Standard	false					false
701-0455847-7977866		2023-05-31T02:58:47+00:00	2023-06-02T18:37:01+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Caddyshack Carl Spackler Camo Bucket Hat	caddyshackhat003	B014Q6VNV8	1	Shipped			1	CAD	27.96		7.19						Komoka	Ontario	N0L 1R0	CA		Standard	false					false
701-3481026-8137043		2023-05-31T01:59:56+00:00	2023-06-02T18:36:47+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Married With Children No Maam Al Bundy T-Shirt | L	albundy002-L	B000EWK90K	1	Shipped			1	CAD	32.28		7.19						Niagara Falls	Ontario	L2E 4N7	CA		Standard	false					false
702-8909726-0168234		2023-05-31T01:48:30+00:00	2023-06-02T18:36:35+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Mash Men's M.A.S.H. 4077th Red Cross T-Shirt Military Green M	mash003-M	B01BKOJED8	1	Shipped			1	CAD	35.51	2.49	7.19	0.5					Winnipeg	Manitoba	R3G 0Y5	CA		Standard	false					false
702-9344931-3603457		2023-05-31T01:30:37+00:00	2023-06-24T16:04:54+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	STAR WARS Return of The Jedi Last Battle Yoda Black Adult T-Shirt Tee (X-Large)	starwars017-XL	B004XDMMHO	1	Shipped			1	CAD	37.13		7.19						Lincoln	New Brunswick	E3B 8S6	CA		Standard	false					false
701-9647037-8353820		2023-05-31T01:30:17+00:00	2023-05-31T23:23:43+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Eastbound and Down Charros Kenny Powers 55 Jersey Green Adult T-shirt Tee L	eastbound014-L	B004BAXWO6	1	Shipped			1	CAD	16.1		7.19						Jarvis	Ontario	N0A 1J0	CA		Standard	false					false
701-2166009-1616257		2023-05-31T00:29:48+00:00	2023-06-02T18:36:25+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Step Brothers Shoe Sneakers Hanging Black Adult T-Shirt Tee (X-Large)	stepbros001-XL	B003WRI40Q	1	Shipped			1	CAD	30.66		7.19						North Bay	Ontario	P1A 3A3	CA		Standard	false					false
701-5765757-3407453	701-5765757-3407453	2023-05-30T22:52:41+00:00	2023-05-31T19:18:15+00:00	Shipped	Amazon	Amazon.ca			Standard	Impact Aerosmith Aero Force Men's White Short Sleeve Tee (Adult Large)	aerosmith002-FBA-L	B00YQ4SG7U		Shipped			1	CAD	39.22								Pembroke	Ontario	K8A 2G3	CA		Standard	false					false
702-8339758-1611404		2023-05-30T20:35:49+00:00	2023-06-02T18:36:11+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Peanuts - Charlie Brown Costume Tee T-Shirt Size XL	Peanuts001-XL	B000YY4LIY	1	Shipped			1	CAD	35.51		7.19						Hamilton	Ontario	L8P 2J7	CA		Standard	false					false
702-3281423-7619438		2023-05-30T19:58:30+00:00	2023-06-05T02:44:18+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Concept One Mens Disney's Pixar Up Wilderness Explorer Cotton Adjustable Hat with Curved Brim Baseball Cap, Yellow, Yellow, One Size	EMUP2001TV-UpHat	B07RJYX1Y6	1	Shipped			1	CAD	34.77		7.19						Lancaster	Ontario	K0C 1N0	CA		Standard	false					false
702-8135991-8185048	702-8135991-8185048	2023-05-30T19:07:01+00:00	2023-05-31T09:40:21+00:00	Shipped	Amazon	Amazon.ca			Standard	Impact Aerosmith Aero Force Men's White Short Sleeve Tee (Adult Large)	aerosmith002-FBA-L	B00YQ4SG7U		Shipped			1	CAD	39.22								Saskatoon	Saskatchewan	S7V0S7	CA		Standard	false					false
701-8939945-1093830		2023-05-30T17:10:54+00:00	2023-06-02T18:35:50+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Seinfeld #1 Dad Light Blue Mens T-shirt (Adult Large)	sein034-L	B0085N9EL0	1	Shipped			1	CAD	21.68		7.19						Calgary	Alberta	T2E 1H8	CA		Standard	false					false
702-7237956-6550602		2023-05-30T17:10:51+00:00	2023-06-02T18:35:40+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Full Body Orange Spandex Suit Costume Large/X-Large Size	bodysuit001orange-PLUS	B00354BVOM	1	Shipped			1	CAD	38.75		7.19						Montreal	Quebec	H4C 1C8	CA		Standard	false					false
702-6969115-8250668		2023-05-30T16:30:08+00:00	2023-06-02T18:35:30+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Teenage Mutant Ninja Turtles Green Leonardo Costume Infant Baby Onesie Romper (Blue Belt) (18 Months)	tmntonesieBLUE-18M	B0089Z0OKE	1	Shipped			1	CAD	23.13		7.19						Williams Lake	British Columbia	V2G 3X3	CA		Standard	false					false
702-2653798-5021853		2023-05-30T15:59:11+00:00	2023-06-02T18:35:19+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Troll Face You U Mad? Adult White T-shirt (Adult X-Large)	trollface002-XL	B007PS65WM	1	Shipped			1	CAD	17.4	1.04	7.19	0.43					Saskatoon	Saskatchewan	S7M 4B7	CA		Standard	false					false
702-1628382-6257009		2023-05-30T15:57:23+00:00	2023-06-02T18:35:08+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Breaking Bad Los Pollos Hermanos Logo Adult Navy T-Shirt (Adult Large)	breakingbad004navy-L	B00CMQWQAC	1	Shipped			1	CAD	32.28		7.19						Windsor	Ontario	N8R 2J9	CA		Standard	false					false
701-3678927-8495436		2023-05-30T15:02:04+00:00	2023-06-02T18:34:52+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Seinfeld #1 Dad Light Blue Mens T-shirt (Adult Large)	sein034-L	B0085N9EL0	1	Shipped			1	CAD	21.68		7.19						Mississauga	Ontario	L4Y 1G7	CA		Standard	false					false
702-8610444-9075443		2023-05-30T14:28:25+00:00	2023-06-02T18:34:38+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Pet Detective Hawaiian Ace Ventura Shirt & Wig Costume Set (Adult Xx-Large) Black	petdetectivecostume-XXL	B00ET9V62Y	1	Shipped			1	CAD	48.45		7.19						lantz	Nova Scotia	B2S1T1	CA		Standard	false					false
702-3176373-1843466		2023-05-30T10:30:29+00:00	2023-06-02T18:34:22+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ferris Bueller's Day Off Caduceus Adult T-shirt(Adult Medium)	ferris008brown-M	B00AYL39SK	1	Shipped			1	CAD	32.28		7.19						London	Ontario	N6G 5L1	CA		Standard	false					false
701-4084780-0194652		2023-05-30T02:50:19+00:00	2023-06-02T18:34:11+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Concept One South Park Character Cosplay Headwear, Green, One Size	ETPK1021TS-kylebeanie	B073KRZD61	1	Shipped			1	CAD	48.45	3.39	7.19	0.5					La Broquerie	Manitoba	R0A 0W0	CA		Standard	false					false
701-5037357-6210608		2023-05-30T02:46:31+00:00	2023-06-02T18:33:04+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Metallica Logo Blue T-shirt (Adult XX-Large)	metallica003-XXL	B01JGPD4P2	1	Shipped			1	CAD	38.75		7.19						Surrey	British Columbia	V4P 3P7	CA		Standard	false					false
